Date,State,Mean Action,Vaccine Distribution %,SD,Lower CI (new using n=50),Upper CI (new using n=50)
16-09-2020,Assam,58.58,18.9358676,10.71731386,55.60931216,61.55068784
16-09-2020,Delhi,62.3,20.13835014,14.42680329,58.30109415,66.29890585
16-09-2020,Jharkhand,59.78,19.32376519,10.581636,56.84692014,62.71307986
16-09-2020,Maharashtra,67.26,21.7416602,14.48547478,63.24483124,71.27516876
16-09-2020,Nagaland,61.44,19.86035687,13.73682671,57.6323459,65.2476541
17-09-2020,Assam,61,19.81420126,12.22743653,57.61072751,64.38927249
17-09-2020,Delhi,62.58,20.32742156,11.86332025,59.2916554,65.8683446
17-09-2020,Jharkhand,60.46,19.63879686,12.15244999,57.09151272,63.82848728
17-09-2020,Maharashtra,64.6,20.98356396,14.05818811,60.70326906,68.49673094
17-09-2020,Nagaland,59.22,19.23601637,10.20062023,56.39253233,62.04746767
18-09-2020,Assam,59.66,19.08509277,10.22523888,56.82570839,62.49429161
18-09-2020,Delhi,66.04,21.12603967,15.49714918,61.7444094,70.3355906
18-09-2020,Jharkhand,62.32,19.93602047,11.50233339,59.13171585,65.50828415
18-09-2020,Maharashtra,64.54,20.64619322,13.7680642,60.72368731,68.35631269
18-09-2020,Nagaland,60.04,19.20665387,9.893225883,57.29773769,62.78226231
19-09-2020,Assam,60.1,19.16576312,13.0591277,56.48019448,63.71980552
19-09-2020,Delhi,69.3,22.0996237,13.41678814,65.58105606,73.01894394
19-09-2020,Jharkhand,60.04,19.14662925,13.55406408,56.28300512,63.79699488
19-09-2020,Maharashtra,62.94,20.07143313,13.08747649,59.3123366,66.5676634
19-09-2020,Nagaland,61.2,19.5165508,10.68472112,58.23834641,64.16165359
20-09-2020,Assam,62.2,20.19742824,12.71829792,58.67466768,65.72533232
20-09-2020,Delhi,63.2,20.52214573,10.56756686,60.27081991,66.12918009
20-09-2020,Jharkhand,60.84,19.75581244,14.1513106,56.91745683,64.76254317
20-09-2020,Maharashtra,62.8,20.39225873,13.71874927,58.99735671,66.60264329
20-09-2020,Nagaland,58.92,19.13235485,12.34510562,55.4981113,62.3418887
21-09-2020,Assam,60.38,19.45357304,10.60590902,57.44019201,63.31980799
21-09-2020,Delhi,65.3,21.03872672,13.66845019,61.5112989,69.0887011
21-09-2020,Jharkhand,58.06,18.7061022,9.53491971,55.4170551,60.7029449
21-09-2020,Maharashtra,66.18,21.32225014,13.04887203,62.56303721,69.79696279
21-09-2020,Nagaland,60.46,19.4793479,11.76853293,57.1979291,63.7220709
22-09-2020,Assam,59.98,19.39092202,10.93112015,56.95004808,63.00995192
22-09-2020,Delhi,66.9,21.62808742,14.54654738,62.86790278,70.93209722
22-09-2020,Jharkhand,61.6,19.91465149,11.72647449,58.3495871,64.8504129
22-09-2020,Maharashtra,62.02,20.05043321,12.20319463,58.63744702,65.40255298
22-09-2020,Nagaland,58.82,19.01590586,11.28605786,55.69166437,61.94833563
23-09-2020,Assam,62.8,20.33020395,13.31563451,59.10909442,66.49090558
23-09-2020,Delhi,61.34,19.85755908,11.49376051,58.15409213,64.52590787
23-09-2020,Jharkhand,62.24,20.14891551,14.86477826,58.11969368,66.36030632
23-09-2020,Maharashtra,62.58,20.25898349,12.42789818,59.13516238,66.02483762
23-09-2020,Nagaland,59.94,19.40433797,11.3486671,56.79430997,63.08569003
24-09-2020,Assam,58.74,19.04175311,9.981227277,55.97334495,61.50665505
24-09-2020,Delhi,64.9,21.03864108,13.09190434,61.27110926,68.52889074
24-09-2020,Jharkhand,62.04,20.11151452,12.8029971,58.49119026,65.58880974
24-09-2020,Maharashtra,60.42,19.58635892,12.96319751,56.82678497,64.01321503
24-09-2020,Nagaland,62.38,20.22173237,10.27159746,59.53285844,65.22714156
25-09-2020,Assam,59.42,19.66768172,11.2523739,56.30100108,62.53899892
25-09-2020,Delhi,61.88,20.48192771,12.28179339,58.47566056,65.28433944
25-09-2020,Jharkhand,61.86,20.47530782,13.11644862,58.22430593,65.49569407
25-09-2020,Maharashtra,58.2,19.26386866,10.70761697,55.232,61.168
25-09-2020,Nagaland,60.76,20.11121409,17.16612706,56.00179234,65.51820766
26-09-2020,Assam,60.46,19.65795292,12.09184242,57.10831228,63.81168772
26-09-2020,Delhi,62.72,20.39276889,11.57238091,59.51229967,65.92770033
26-09-2020,Jharkhand,57.5,18.69553908,12.40021395,54.06283605,60.93716395
26-09-2020,Maharashtra,61.82,20.10014306,11.61225602,58.60124685,65.03875315
26-09-2020,Nagaland,65.06,21.15359605,12.12925288,61.69794263,68.42205737
27-09-2020,Assam,58.72,18.83016932,13.12427257,55.08213724,62.35786276
27-09-2020,Delhi,66.42,21.2993843,14.46754284,62.40980172,70.43019828
27-09-2020,Jharkhand,61.1,19.59338122,13.51529746,57.35375067,64.84624933
27-09-2020,Maharashtra,62.52,20.04874295,11.89107022,59.2239635,65.8160365
27-09-2020,Nagaland,63.08,20.22832222,12.88226118,59.50921938,66.65078062
28-09-2020,Assam,59.42,19.16774194,11.6795478,56.18259452,62.65740548
28-09-2020,Delhi,66.96,21.6,14.73709744,62.875085,71.044915
28-09-2020,Jharkhand,59.06,19.0516129,16.98307681,54.35253128,63.76746872
28-09-2020,Maharashtra,61.88,19.96129032,13.31508275,58.18924736,65.57075264
28-09-2020,Nagaland,62.68,20.21935484,11.69761881,59.43758549,65.92241451
29-09-2020,Assam,59.48,19.06654699,8.937972194,57.00252051,61.95747949
29-09-2020,Delhi,63.34,20.30388511,13.66898769,59.55114992,67.12885008
29-09-2020,Jharkhand,59.46,19.06013591,11.20533765,56.35403887,62.56596113
29-09-2020,Maharashtra,62.48,20.02820874,12.53442606,59.00563436,65.95436564
29-09-2020,Nagaland,67.2,21.54122323,12.9062554,63.62256852,70.77743148
30-09-2020,Assam,58.74,18.99495537,12.82187226,55.18595833,62.29404167
30-09-2020,Delhi,61.24,19.80338895,13.20723364,57.57914161,64.90085839
30-09-2020,Jharkhand,57.98,18.74919157,9.342660548,55.39034662,60.56965338
30-09-2020,Maharashtra,65.08,21.04514293,13.31232358,61.39001216,68.76998784
30-09-2020,Nagaland,66.2,21.40732117,11.93348915,62.89220557,69.50779443