Date,Name of State,Susceptible ,Infected People ,Recovery,  Death ,Vaccine Distribution %,Amount of vaccine
16-09-2020,Assam,30441898,321344,275690,6214,4.363069641,436.3069641
16-09-2020,Delhi,15375295,589244,531748,11667,8.192103574,819.2103574
16-09-2020,Jharkhand,32589056,167171,145574,3255,2.285511111,228.5511111
16-09-2020,Maharashtra,97478946,6406114,5177977,120570,84.65548343,8465.548343
16-09-2020,Nagaland,1888867,38463,30481,717,0.5038322452,50.38322452
17-09-2020,Assam,30396689,340331,292228,6583,4.36000868,436.000868
17-09-2020,Delhi,15298609,620945,561997,12312,8.153615026,815.3615026
17-09-2020,Jharkhand,32565630,176974,154175,3446,2.282492942,228.2492942
17-09-2020,Maharashtra,96600605,6780605,5507573,127898,84.69823471,8469.823471
17-09-2020,Nagaland,1883181,40897,32464,763,0.5056486405,50.56486405
18-09-2020,Assam,30348884,360403,309742,6975,4.358442784,435.8442784
18-09-2020,Delhi,15218225,654138,593867,12989,8.116685668,811.6685668
18-09-2020,Jharkhand,32540849,187342,163281,3649,2.28035539,228.035539
18-09-2020,Maharashtra,95679815,7172639,5856330,135608,84.73690871,8473.690871
18-09-2020,Nagaland,1877155,43476,34573,812,0.5076074497,50.76074497
19-09-2020,Assam,30298344,381618,328287,7388,4.358424586,435.8424586
19-09-2020,Delhi,15134015,688869,627436,13700,8.081392809,808.1392809
19-09-2020,Jharkhand,32514638,198308,172920,3863,2.279132567,227.9132567
19-09-2020,Maharashtra,94715646,7582500,6225134,143713,84.77134696,8477.134696
19-09-2020,Nagaland,1870770,46207,36814,864,0.5097030731,50.97030731
20-09-2020,Assam,30244924,404037,347923,7826,4.360064152,436.0064152
20-09-2020,Delhi,15045853,725182,662781,14446,8.047783465,804.7783465
20-09-2020,Jharkhand,32486916,209904,183122,4090,2.278866991,227.8866991
20-09-2020,Maharashtra,93707281,8010401,6614881,152223,84.80133855,8480.133855
20-09-2020,Nagaland,1864009,49098,39196,918,0.5119468418,51.19468418
21-09-2020,Assam,30188472,427721,368712,8289,4.363425269,436.3425269
21-09-2020,Delhi,14953616,763121,699982,15228,8.015919587,801.5919587
21-09-2020,Jharkhand,32457599,222166,193921,4330,2.279617261,227.9617261
21-09-2020,Maharashtra,92654040,8456481,7026477,161150,84.82668072,8482.668072
21-09-2020,Nagaland,1856852,52156,41727,977,0.5143571582,51.43571582
22-09-2020,Assam,30128829,452737,390718,8778,4.368597327,436.8597327
22-09-2020,Delhi,14857183,802725,739121,16047,7.98585269,798.585269
22-09-2020,Jharkhand,32426600,235129,205351,4584,2.281424682,228.1424682
22-09-2020,Maharashtra,91555394,8920790,7460833,170504,84.84719293,8484.719293
22-09-2020,Nagaland,1849281,55391,44415,1038,0.5169323751,51.69323751
23-09-2020,Assam,30065831,479151,414009,9296,4.375666231,437.5666231
23-09-2020,Delhi,14756438,844033,780282,16906,7.957657001,795.7657001
23-09-2020,Jharkhand,32393826,248833,217446,4853,2.284340048,228.4340048
23-09-2020,Maharashtra,90410985,9403281,7918859,180293,84.86264708,8486.264708
23-09-2020,Nagaland,1841275,58810,47269,1104,0.5196896398,51.96896398
24-09-2020,Assam,29999305,507035,438657,9843,4.384726549,438.4726549
24-09-2020,Delhi,14651268,887079,823553,17804,7.931388403,793.1388403
24-09-2020,Jharkhand,32359178,263317,230247,5137,2.288422208,228.8422208
24-09-2020,Maharashtra,89220644,9903800,8401461,190525,84.87283451,8487.283451
24-09-2020,Nagaland,1832814,62421,50299,1173,0.5226283295,52.26283295
25-09-2020,Assam,29929074,536461,464738,10420,4.395870132,439.5870132
25-09-2020,Delhi,14541567,931894,869020,18744,7.90710757,790.710757
25-09-2020,Jharkhand,32322555,278624,243792,5437,2.293722476,229.3722476
25-09-2020,Maharashtra,87984408,10422075,8909535,201208,84.87753912,8487.753912
25-09-2020,Nagaland,1823877,66232,53515,1246,0.5257607013,52.57607013
26-09-2020,Assam,29854951,567505,492331,11031,4.409209302,440.9209302
26-09-2020,Delhi,14427236,978504,916772,19726,7.884867711,788.4867711
26-09-2020,Jharkhand,32283850,294798,258124,5754,2.300303787,230.0303787
26-09-2020,Maharashtra,86702540,10957703,9443958,212345,84.87652248,8487.652248
26-09-2020,Nagaland,1814445,70253,56926,1323,0.5290967167,52.90967167
27-09-2020,Assam,29776745,600245,521517,11675,4.424826299,442.4826299
27-09-2020,Delhi,14308183,1026932,966901,20752,7.864741216,786.4741216
27-09-2020,Jharkhand,32242951,311886,273287,6090,2.308232457,230.8232457
27-09-2020,Maharashtra,85375541,11510148,10005586,223941,84.86954782,8486.954782
27-09-2020,Nagaland,1804494,74492,60544,1405,0.5326522118,53.26522118
28-09-2020,Assam,29694258,634762,552385,12356,4.442848719,444.2848719
28-09-2020,Delhi,14184327,1077192,1019496,21822,7.846766068,784.6766068
28-09-2020,Jharkhand,32199738,329937,289328,6445,2.317572254,231.7572254
28-09-2020,Maharashtra,84004166,12078723,10595242,235996,84.85638708,8485.638708
28-09-2020,Nagaland,1794005,78957,64379,1491,0.5364258792,53.64258792
29-09-2020,Assam,29607284,671139,585024,13074,4.463371373,446.3371373
29-09-2020,Delhi,14055597,1129294,1074651,22939,7.831012093,783.1012093
29-09-2020,Jharkhand,32154090,349000,306298,6820,2.328389833,232.8389833
29-09-2020,Maharashtra,82589439,12662588,11213713,248510,84.83678839,8483.678839
29-09-2020,Nagaland,1782955,83657,68443,1583,0.5404383127,54.04383127
30-09-2020,Assam,29515612,709461,619531,13832,4.486518184,448.6518184
30-09-2020,Delhi,13921932,1183241,1132456,24102,7.817517977,781.7517977
30-09-2020,Jharkhand,32105878,369130,324246,7216,2.340752584,234.0752584
30-09-2020,Maharashtra,81132660,13260741,11861739,261481,84.81052066,8481.052066
30-09-2020,Nagaland,1771325,88599,72749,1679,0.5446905923,54.46905923